"river name","area","nodes"
"Hamana.ko",413.246691328,24
"Oota.Hiroshima",1685.31695624,168
"Takatsu",1088.54861292,129
"Miya",841.229076764,153
"Abu.gawa",641.201375702,74
"Kinokawa",1724.70434325,246
"Shimada",269.285031385,30
"Hidaka",609.511345482,83
"Tonda",256.213817105,48
"Hiki",400.932860719,65
"Koza",362.645827176,70
"Chikugo",2833.69951699,389
"Rokkaku.Saga",341.776511537,38
"Oita",650.406356579,95
"Matsuda",242.410156236,26
"Gokase",1823.78521099,186
"Midorikawa",1077.544376,164
"Sendai.Kagoshima",1600.31485651,239
"Hirotogawa",331.985809945,56
"Kimotsuki",530.850304384,80
"Liwu",623.864387042,95
"Tha.Chin",12643.0730192,683
"Rayong",1694.92166661,92
"Pranburi",2867.3721982,251
"Moovattupuzha",1800.41129751,322
"Manimala",258.281662744,50
"Phuket",331.975844842,10
"Muda",4244.14268868,612
"Batang.Kerang",2981.02428964,611
"Belait",2438.85933499,414
"Ciliwung",305.764211352,32
"Cisadane",1551.00803856,213
"Sawarangan",349.308313479,54
"Sungai.Sentiung",1938.85807766,230
"Kendawangan",1055.36805685,186
"Labuk",4685.76163559,814
"Lembang",2879.26458291,502
"Mempawah",1757.95297695,311
"Natuna.Besar",424.625824259,69
"Sarawak",1447.43663946,351
"Segama",4023.47764156,490
"Tamiang",4833.09727519,810
"Temburong.Belalong",1202.56872339,239
"Tempasuk",852.831542207,111
"Tutong",1012.1876118,183
"South.Alligator",11576.4996776,769
"Banka.island",11811.9146511,110
"Billiton.Island",4753.31743043,112
"Kalabakan",1346.70794106,141
"Pulau.Bintan.Island",1422.60510851,21
"Rayu",458.63247285,12
"Brisbane",13679.1286181,621
"Pasig",3914.591937,574
"Pagatban.Negros",380.561731386,57
"Siaton.Negros",242.823433057,34
"Aceh",1603.96867327,116
"Woyla",2445.31802818,261
"Mereubo",1786.70543126,196
"Nagan",979.082759941,120
"Sungai.Wiriagar",3746.96181713,680
"Sungai.Davur",2869.2020342,600
"Sungai.Rittowe",2933.64530424,474
