MAIN_BAS,area,nodes
1070040940,17999.8,9
1070040950,17090.6,9
1070040970,16948.8,9
1070040990,16441.2,9
1070041000,16397.5,9
1070041010,16336.0,9
1070041020,16235.4,9
1070041040,16066.3,9
1070041050,15514.7,9
1070041060,15501.9,9
1070041090,14815.4,9
1070041110,14746.8,9
1070041120,14722.5,9
1070041190,13972.8,9
1070041220,13623.3,9
1070041230,13568.9,9
1070041260,13054.4,9
1070041280,12878.5,9
1070041290,12871.8,9
1070041310,12520.9,9
1070041330,12358.5,9
1070041360,11548.5,9
1070041390,11054.6,9
1070041400,11041.4,9
1070041430,10605.3,9
1070041440,10422.9,9
1070041450,10352.9,9
1070041480,10021.4,9
1070041500,9910.1,9
1070041540,9853.0,9
1070041570,9707.1,9
1070041610,9677.7,9
1070041660,9234.9,9
8070000060,28067.8,9
8070000810,65703.5,17
8070002260,50346.5,25
8070004350,9618.7,9
8070004410,24366.9,9
8070004480,35917.5,17
8070004910,123076.7,57
8070005510,832828.8,337
8070006230,10844.7,9
8070006940,15074.0,9
8070007020,30059.9,9
8070007180,32534.8,9
8070008020,12998.9,9
8070008230,17990.4,9
8070008380,59613.2,25
8070008470,9139.0,9
8070008510,12436.4,9
8070009560,1795841.4,863
8070010040,66586.8,17
8070010200,23773.3,9
8070010430,14972.4,9
8070011250,14747.0,9
8070011270,30833.0,9
8070011680,13774.3,9
8070011800,25410.7,9
8070012600,17693.2,9
8070013480,118549.9,57
8070014730,9384.8,9
8070014810,10192.5,9
8070017800,11606.5,9
8070018080,29836.7,9
8070018120,244858.3,97
8070018730,22820.6,9
8070018830,16288.1,9
8070018970,59709.9,25
8070023260,11133.6,9
8070023560,10098.7,9
8070024230,15550.6,9
8070025160,9342.2,9
8070025650,15778.5,9
8070026850,13607.0,9
8070039130,11659.5,9
8070041980,64751.4,25
8070042220,10909.7,9
8070042710,9029.7,9
8070042910,17386.3,9
4070000160,60970.8,17
4070000370,12049.2,9
4070000880,1998203.4,1002
4070001240,21654.8,9
4070002470,16786.9,9
4070002770,33171.1,17
4070003940,23296.4,9
4070004680,9776.6,9
4070005050,25245.3,9
4070005410,19403.9,9
4070005710,62213.0,33
4070006520,27824.5,9
4070006570,191233.9,90
4070006620,23442.8,9
4070007080,45724.5,25
4070007380,9824.9,9
4070007410,211331.1,106
4070007660,14362.5,9
4070007850,761253.3,390
4070007940,10846.4,9
4070009170,58812.6,33
4070009280,12134.9,9
4070009880,1909198.6,846
4070010150,26251.3,9
4070010370,43614.4,17
4070011100,17205.6,9
4070011540,60893.1,33
4070011960,13823.3,9
4070012280,29397.0,9
4070012770,33310.7,9
4070012990,389565.5,177
4070014250,9265.8,9
4070014930,13208.1,10
4070015000,138855.5,67
4070015100,29596.7,9
4070015260,27327.9,9
4070015780,9542.3,9
4070016210,13212.7,9
4070016810,29759.4,9
4070016830,15587.2,9
4070017020,774281.5,346
4070018230,22003.6,9
4070018280,144308.8,49
4070018330,12931.7,9
4070018360,28650.9,9
4070018970,12876.2,9
4070019710,13167.4,9
4070020060,28865.1,9
4070020980,14874.2,9
4070022440,17738.5,9
4070023050,9410.0,9
4070023060,265228.4,122
4070023220,34068.2,17
4070023810,376349.6,145
4070024780,9989.7,9
4070024890,21445.1,9
4070025260,13957.6,9
4070025450,1574223.9,661
4070026610,29785.1,9
4070026660,37787.1,9
4070026820,19433.5,9
4070027010,51414.0,25
4070027100,135526.1,81
4070027460,10713.9,9
4070027480,9208.8,9
4070027780,310380.1,129
4070027940,258782.4,121
4070028200,54904.5,17
4070028550,17994.1,9
4070028670,13815.8,9
4070028760,78369.8,41
4070031520,64336.3,41
4070031610,96044.2,41
4070031730,34075.2,9
4070031820,29977.5,9
4070032410,10472.9,9
4070032880,29277.8,9
4070033430,319156.4,148
4070033640,854649.9,361
4070033840,9968.4,9
4070033920,13318.3,9
4070043170,10578.5,9
4070044180,10122.0,9
4070044540,15912.7,9
4070045420,9023.7,9
4070050210,909036.8,393
4070050220,622506.9,261
4070050230,404800.5,196
4070050240,325885.8,177
4070050250,143951.7,57
4070050270,109629.0,42
4070050280,91361.4,41
4070050290,81711.2,41
4070050300,75344.6,33
4070050310,73165.4,33
4070050320,71257.3,33
4070050330,63248.1,18
4070050340,51701.6,17
4070050350,43894.4,33
4070050360,43160.1,17
4070050370,40730.0,9
4070050380,40599.2,9
4070050390,37302.4,9
4070050410,34859.6,9
4070050420,34148.1,9
4070050430,31606.9,9
4070050440,30876.1,9
4070050450,30330.1,17
4070050470,29077.1,9
4070050480,26040.6,9
4070050500,24475.5,9
4070050510,24146.9,9
4070050520,23956.4,9
4070050530,22548.0,9
4070050540,22224.1,9
4070050560,22030.8,9
4070050570,21917.0,9
4070050580,21092.8,9
4070050590,20449.3,9
4070050600,20081.0,9
4070050610,20080.1,9
4070050620,19850.3,9
4070050630,19211.0,9
4070050640,17605.5,9
4070050650,16970.7,9
4070050670,16767.8,9
4070050690,15970.6,9
4070050710,15796.5,9
4070050730,15014.1,9
4070050740,14258.5,9
4070050750,14162.6,9
4070050760,13979.4,9
4070050770,13263.4,9
4070050800,12532.7,9
4070050830,12021.9,9
4070050840,11996.5,9
4070050870,11265.8,9
4070050880,11049.8,9
4070050890,10871.5,9
4070050900,10800.0,9
