river_name,river_area,N_nodes,sim_nodes,DG,HC,HCE5,HCE10,HCR,HCRE5,HCRE10,BW,BWR,BWC,CL,RW,CO,EI
Tarago,1244.84568674,34,NA,1.94117647058824,8.61178429413724,13.4747967730368,20.6212870073335,0.901889414439338,1.645926737088,1.97678884374587,75.2941176470588,150.588235294118,0.147331717756035,0.00566707428578802,0.000202916986120084,1,2.47564196505042
Merri,1066.63618299,44,NA,1.95454545454545,9.44367811333052,14.3480432358513,23.5365911563651,0.849319884058224,1.59999394665712,1.87948737228352,132.704545454545,265.409090909091,0.1504185622501,0.00335926159227961,8.9291510704658e-05,1,2.45112553304937
Surrey,363.20601985,12,NA,1.83333333333333,4.85,7.23026418305397,9.19643279999627,1.01954528246785,1.77259134368097,2.50845530105897,11.25,22.5,0.224054759620633,0.0310834377464556,0.00341859937527656,1,2.26382097785239
Lang.Lang,554.920918908,18,NA,1.88888888888889,6.21904761904762,9.59211043704585,12.9334704817984,0.992527382750138,1.73477896694009,2.23975439224433,22.6666666666667,45.3333333333334,0.178199302132351,0.0167115469915573,0.00121313344962046,1,2.39275624719511
Thompson.creek,308.093109332,16,NA,1.875,5.66785714285714,8.59956302459002,11.5015217221977,0.968270631064236,1.67696871814644,2.2240086189881,20.5625,41.125,0.20884627556884,0.0185261811587728,0.00146007575197874,1,2.32032987140646
Curdies,1032.19768119,54,NA,1.96296296296296,10.2444866801076,15.1746651549708,26.370561826859,0.815891030580759,1.54770268602556,1.80164499042409,191.888888888889,383.777777777779,0.149467596715126,0.0023936389453346,5.41658790481205e-05,1,2.45680209185831
Tarwin,1592.92663333,89,NA,1.97752808988764,13.4158383822254,19.0321075312702,36.7932503830372,0.795318958326252,1.57714551098478,1.84598044537234,407.14606741573,814.292134831462,0.20373964244296,0.00115621431827661,1.55048204464269e-05,1,2.52437425952818
Tarra,306.173395184,14,NA,1.85714285714286,5.36190476190476,8.10898864703887,10.5175060605709,1.01716490300623,1.76664968161691,2.4027422601593,14.4285714285714,28.8571428571429,0.201070393981134,0.0249216312762952,0.00239233668703698,1,2.32684626960465
Gellibrand,1088.4099249,59,NA,1.96610169491525,10.8972097381317,16.214542291599,28.3429884358451,0.820196482203376,1.59552813224175,1.87458475840726,218.28813559322,436.576271186442,0.212058741255734,0.00209448656828481,4.10524469240146e-05,1,2.48966918344604
Jack,393.615725941,16,NA,1.875,5.75892857142857,8.78392048626623,11.6669899411175,0.992635511218341,1.72489977608583,2.28214566555268,19.0625,38.125,0.194871792900963,0.0196121441520619,0.0015968513436969,1,2.3495858044133
Duck,387.426525211,38,NA,1.94736842105263,9.23085744664692,14.53534637007,22.6794178529348,0.904107792887564,1.66041780637625,2.01058904312156,86.4736842105263,172.947368421053,0.133954936017882,0.00493776893487139,0.000157138502369726,1,2.48835962038191
Ringarooma,1194.70564594,58,NA,1.96551724137931,10.7790799286476,16.031312331133,27.9334327148602,0.822105477076885,1.5829813659678,1.85431849570441,214.275862068966,428.551724137932,0.166763685704185,0.00214116936379777,4.32308613710411e-05,1,2.49358347481924
Little.Forester,345.732376793,19,NA,1.89473684210526,6.30325814536341,9.74389512429877,13.3550042083312,0.958305474518746,1.70944768289417,2.20405241410058,26.2631578947368,52.5263157894737,0.181774263555468,0.0147877465166771,0.00101499962928227,1,2.37166282977801
Hurst.creek,255.984752016,10,NA,1.8,4.36,6.41286128817627,7.92936149091514,1.05040282004538,1.85412788856638,2.71975783441495,7.6,15.2,0.236227514626768,0.0430816188544383,0.00589588863337708,1,2.21431974337754
Great.Forester,540.416587854,38,NA,1.94736842105263,8.82819198345514,13.548924881839,21.4916408787387,0.863044419867629,1.59698487967418,1.88627614563429,101.526315789474,203.052631578948,0.156329713993002,0.00433554641981448,0.000136379859756967,1,2.45388835625458
Pipers,456.432107968,29,NA,1.93103448275862,7.61341493755287,11.6965776795952,17.6394195143799,0.877108465266102,1.61140404095638,1.94779793550297,64.9655172413793,129.931034482759,0.177239016991549,0.00655358875207803,0.000268128367585088,1,2.38509268384228
Ansons,259.67545383,12,NA,1.83333333333333,4.85,7.23026418305397,9.19643279999627,1.01954528246785,1.77259134368097,2.50845530105897,11.25,22.5,0.224054759620593,0.0310834377464556,0.00341859937527656,1,2.2638209778524
Arthur,2475.0156073,288,NA,1.99305555555556,20.8038109847525,21.4516364246231,51.306259446812,0.709050422541732,1.54985819968813,1.77732632080384,3489.78125,6979.56250000028,NaN,0.000142782379239823,5.66280095576333e-07,1,2.50822387446342
Cam,248.671291755,28,NA,1.92857142857143,7.6902700474129,11.9584341808883,17.698902539374,0.911489760250258,1.63802560126559,1.99711018130407,55.6785714285714,111.357142857143,0.164709101171175,0.00751365171032007,0.000327785662143442,1,2.42957997331785
Tamar,11206.0830578,542,NA,1.99630996309963,29.8903211970514,24.5558902003634,69.1793281193942,0.697458081959806,1.53739556987738,1.76742829989315,7705.81918819188,15411.6383763863,-1.88334445027255,6.57147053535002e-05,1.45631446981343e-07,1,2.55657171214497
Rubicon,742.655564243,28,NA,1.92857142857143,7.7833436404865,12.1689852929926,17.9151975038887,0.923886513707646,1.66012290957322,2.02377947771836,53.3928571428571,106.785714285714,0.158295457035918,0.00776821608522464,0.00034052277788153,1,2.44447705832511
Mersey,1786.23682167,184,NA,1.98913043478261,18.8677458231767,23.0217398694079,52.1043165799821,0.756237550260375,1.57921681841282,1.85880694061476,1349.82608695652,2699.65217391309,-0.0377518771741809,0.000357996778246819,2.19531889718765e-06,1,2.54917790143597
Aa,1200.36462627,40,NA,1.95,9.26803196803197,14.3740181555356,22.8560758932885,0.881241071062101,1.64061366488024,1.9489365980464,102.925,205.850000000001,0.142630287974454,0.00423011687023135,0.000124945430238144,1,2.47239293808908
Agly,1125.20068208,68,NA,1.97058823529412,11.9666983075606,17.8166700312531,32.1548818711877,0.827743504355749,1.59270851405672,1.89410804532153,251.220588235294,502.441176470588,0.133883367210262,0.00182442982280641,3.17043304058132e-05,1,2.51024614302457
Aksu,7738.137846,353,NA,1.9943342776204,23.7565747451624,23.4138882715154,58.6465756851112,0.711043895806071,1.55582911514628,1.79340208856765,4459.7223796034,8919.4447592069,0.679569296284832,0.000111818220437631,3.5991147538324e-07,1,2.55288493811789
Aksu.North,900.762484278,62,NA,1.96774193548387,11.947365895753,18.4571161882334,32.0299832936694,0.862442437679937,1.63858089696022,1.96463627937971,192.032258064516,384.064516129033,0.107066264624143,0.00233136830660389,4.4972408303861e-05,1,2.53807195099793
Aliakmon,6614.68628137,326,NA,1.99386503067485,23.8428222762626,24.6310123274041,61.223172160437,0.725012167867106,1.57434682377904,1.83241940849582,3686.25460122699,7372.50920245412,0.69282796795654,0.00013544574049468,4.81327973011792e-07,1,2.56343915321132
Anzali,3934.49668245,104,NA,1.98076923076923,14.8250599026718,20.7536433324621,41.6394442151672,0.803745953658103,1.59562140168149,1.86718014560022,486.586538461538,973.173076923092,0.179224606998419,0.000966817942566526,1.11114450955026e-05,1,2.53559776812409
Argens,2762.56902861,201,NA,1.99004975124378,19.859947841629,23.5374589782035,55.2009897804786,0.754810734144402,1.57160392941558,1.83169104758625,1481.80099502488,2963.60199004979,0.447683006759708,0.000327128280728836,1.86609392063726e-06,1,2.54917424491083
Aude,5283.13640882,352,NA,1.99431818181818,23.8286527203972,23.3679801693067,58.8461563498931,0.71618690034379,1.56217629800144,1.80912860695557,4329.29829545455,8658.59659090932,0.749156344555026,0.000115392571663573,3.78825145890688e-07,1,2.54857093085766
Avon.Eng,2248.20619815,167,NA,1.98802395209581,17.9771443785181,22.3760891065242,49.9723911793193,0.75382894570013,1.5546222064523,1.81391161816629,1154.28143712575,2308.56287425151,0.399529749187577,0.000422922124972253,3.00839492898666e-06,1,2.56491507617196
Avon.Moors,2986.35936333,223,NA,1.99103139013453,19.2897639028282,21.8964633580678,50.4559057733223,0.72206939448318,1.54983455114473,1.78865597790095,2181.56502242152,4363.13004484306,0.89792986718241,0.000225925494228275,1.14827379401213e-06,1,2.54862348944108
Babol,2163.299555,46,NA,1.95652173913043,9.52892360552207,14.326074865387,23.7882597675224,0.833226581653514,1.57954133389579,1.84791299864652,150.130434782609,300.26086956522,0.158280361653834,0.00299980095222538,7.56717203705168e-05,1,2.45486645632496
Bakir.Cayi,3361.97928442,168,NA,1.98809523809524,18.8032188995599,23.8743068555171,53.6349528750806,0.773477839582659,1.57995741772332,1.8640203142275,1046.8869047619,2093.77380952383,0.290961309198921,0.000460908080765712,3.22428781616841e-06,1,2.55753200985314
Bartin,2940.76041179,137,NA,1.98540145985401,15.9503783049874,20.4260407669528,43.5870505127885,0.762441949583124,1.57608358287566,1.82647020471496,891.503649635036,1783.00729927008,0.307450961564719,0.000541266977463872,4.58655809270918e-06,1,2.51382745541416
Biga,2130.2940991,112,NA,1.98214285714286,14.1366788142792,18.6280523613929,37.8650496615848,0.758670028110415,1.54470762224233,1.77745464689994,692.294642857143,1384.58928571429,0.299272851191212,0.000692451742196189,7.09797592892619e-06,1,2.51284133184
Bolaman,1232.75121609,68,NA,1.97058823529412,11.7520936670727,17.275815014486,31.4574488359056,0.818586971488775,1.5748709245516,1.85819646226377,260.75,521.500000000003,0.131062980982647,0.00176513526249169,3.0757109617326e-05,1,2.48861468872879
Bollin,2390.64880441,224,NA,1.99107142857143,22.2489644111699,26.3189945195654,64.2476838548188,0.767425574565524,1.58044347431025,1.85899946205577,1509.46875,3018.93750000003,0.822224596838671,0.000320374313772606,1.69139703968637e-06,1,2.57205636701897
